P,L2-NORM,C_in,C_SR,y,point_type,system_id
0.0,25.962400879,0.13431499898,25.95759964,0.48087400198,EP,P1
2.8135150248e-06,25.962600817,0.13431752977,25.957799623,0.48087291,,P1
6.9195335871e-06,25.962800683,0.13432000122,25.957999553,0.48087071942,,P1
1.5133086615e-05,25.963200415,0.13432494465,25.958399414,0.48086633718,,P1
3.1566264485e-05,25.963999878,0.13433483357,25.959199137,0.48085756844,,P1
6.4456957918e-05,25.965598803,0.13435461972,25.96079858,0.48084001386,,P1
0.00013033610143,25.968796649,0.13439422544,25.963997463,0.48080483617,,P1
0.00026248869394,25.975192324,0.13447357206,25.970395218,0.48073420484,,P1
0.00052839785752,25.98798361,0.13463281829,25.983190674,0.4805918242,,P1
0.001066854941,26.013565907,0.13495362474,26.008781368,0.4803024721,,P1
0.0021458962154,26.063530184,0.13558993486,26.058762269,0.47971869071,,P1
0.0032650601695,26.113492747,0.13624089569,26.108741779,0.47910812492,,P1
0.0044299036454,26.163453307,0.13690900114,26.158719646,0.4784677319,,P1
0.0056472691247,26.213411492,0.13759730074,26.208695545,0.47779373086,,P1
0.0069257497058,26.263366814,0.1383096025,26.258669049,0.47708134014,,P1
0.0082763940806,26.313318616,0.13905078042,26.30863958,0.47632437843,,P1
0.0097138234292,26.363265982,0.13982726176,26.358606326,0.475514633,,P1
0.011258098967,26.413207581,0.14064784197,26.408568099,0.47464080382,,P1
0.012938067129,26.463141364,0.14152514453,26.458523059,0.4736866131,,P1
0.014797924112,26.513063932,0.14247848673,26.508468129,0.47262709763,,P1
0.016911854493,26.562968997,0.14354027195,26.558397561,0.47142034629,,P1
0.019423706876,26.612842731,0.14477332064,26.608298572,0.46998512171,,P1
0.022699777912,26.66264282,0.14633763035,26.658131518,0.46811475447,,P1
0.029365130196,26.711900581,0.14938046296,26.707446806,0.46433096406,,P1
0.031682590866,26.713171776,0.15039817131,26.708735153,0.46302619558,,P1
0.031899426472,26.712883839,0.15049239768,26.708448747,0.46290446464,,P1
0.031998469777,26.712729374,0.15053538145,26.708294978,0.4628488829,,P1
0.032180649983,26.712407607,0.15061435452,26.707974484,0.46274668049,,P1
0.032424211969,26.711901694,0.15071975259,26.707470258,0.46261011351,,P1
0.032742000662,26.711111505,0.15085695708,26.706682247,0.46243204966,,P1
0.033148195011,26.709887774,0.15103181589,26.705461261,0.46220465524,,P1
0.033659412323,26.708008333,0.15125107095,26.703585214,0.4619188,,P1
0.034296118962,26.705141797,0.15152289102,26.700722809,0.46156330515,,P1
0.035084091793,26.700792621,0.15185738405,26.696378601,0.46112418741,,P1
0.03605594557,26.694218557,0.15226707638,26.689810444,0.46058390502,,P1
0.037252890426,26.684306916,0.15276740075,26.679905749,0.45992053787,,P1
0.038726937943,26.669389071,0.15337724439,26.664995965,0.45910681852,,P1
0.040543815279,26.646962334,0.15411960394,26.642578422,0.45810893542,,P1
0.042786932818,26.613272832,0.15502239658,26.608899168,0.45688502642,,P1
0.04552874245,26.563370958,0.1561061193,26.559008206,0.45540166474,,P1
0.047869744323,26.513441882,0.15701492059,26.509087077,0.45414657664,,P1
0.049954924823,26.463498,0.15781212486,26.45914924,0.4530377767,,P1
0.051858889251,26.413544835,0.15853028864,26.409200765,0.45203301873,,P1
0.053626012707,26.363585326,0.15918876089,26.359244915,0.45110714135,,P1
0.055285220674,26.313621217,0.15980014433,26.309283648,0.45024372253,,P1
0.056856604151,26.263653631,0.16037318603,26.259318231,0.44943134202,,P1
0.058354786848,26.213683328,0.16091424814,26.209349532,0.44866167758,,P1
0.059790803388,26.163710849,0.16142812791,26.159378174,0.4479284425,,P1
0.061173221795,26.113736591,0.16191854762,26.109404616,0.44722675008,,P1
0.062508851587,26.063760856,0.16238846352,26.059429207,0.44655271259,,P1
0.06380321035,26.013783874,0.16284026931,26.009452221,0.44590317679,,P1
0.065060842392,25.96380583,0.16327593506,25.959473875,0.44527554323,,P1
0.066285543052,25.913826871,0.16369710499,25.909494342,0.44466763894,,P1
0.067480520674,25.863847117,0.16410516802,25.859513767,0.44407762548,,P1
0.068648516205,25.813866667,0.16450130988,25.809532268,0.44350393097,,P1
0.069791893208,25.763885604,0.16488655227,25.759549945,0.44294519894,,P1
0.070912706775,25.713903997,0.16526178292,25.709566883,0.44240024912,,P1
0.07201275708,25.663921905,0.16562777881,25.659583154,0.44186804697,,P1
0.073093631558,25.61393938,0.16598522459,25.60959882,0.44134767966,,P1
0.074156738533,25.563956465,0.16633472714,25.559613935,0.44083833688,,P1
0.075203334314,25.513973199,0.16667682742,25.509628546,0.44033929546,,P1
0.07623454525,25.463989616,0.16701200999,25.459642696,0.43984990673,,P1
0.077251385844,25.414005743,0.16734071091,25.40965642,0.43936958621,,P1
0.078254773751,25.364021608,0.16766332426,25.359669751,0.43889780504,,P1
0.079245542292,25.314037234,0.16798020757,25.309682718,0.43843408283,,P1
0.08022445097,25.264052642,0.16829168637,25.259695348,0.43797798166,,P1
