P,L2-NORM,MAX C_in,MAX C_SR,MAX y,PERIOD,point_type,system_id
0.23373915441,16.48528422,0.21435258298,16.479094713,0.39760057242,2.5490839883,,P1
0.23373876363,16.485303235,0.21436506731,16.479183254,0.39760367216,2.5490853288,,P1
0.23373886192,16.485298261,0.21439241499,16.479329677,0.39761016773,2.5490849991,,P1
0.23373886796,16.485297107,0.21444264632,16.479606783,0.39762214175,2.5490850154,,P1
0.23373923778,16.485275395,0.2145430341,16.480140871,0.39764592445,2.5490839046,,P1
0.23374076084,16.485185962,0.21474296869,16.48115779,0.39769289782,2.5490793308,,P1
0.23374409093,16.484990414,0.21499014222,16.482328908,0.39775024572,2.5490693318,,P1
0.23374890213,16.484707919,0.21523210312,16.483383089,0.39780561129,2.549054884,,P1
0.23375504872,16.48434704,0.2154672776,16.484320288,0.39785869054,2.5490364252,,P1
0.23376237479,16.483916928,0.21569486678,16.485145209,0.39790937247,2.5490144257,,P1
0.23377072839,16.483426504,0.21591447996,16.485864953,0.39795763389,2.5489893431,,P1
0.23377996982,16.482883976,0.21612609529,16.486487614,0.39800354236,2.548961598,,P1
0.23378997552,16.482296601,0.21632987702,16.487021489,0.39804720631,2.5489315623,,P1
0.23380063887,16.481670643,0.21652620497,16.487474936,0.39808875646,2.548899557,,P1
0.23381186918,16.48101143,0.2167154756,16.487855551,0.3981283348,2.548865855,,P1
0.2338235899,16.480323459,0.21689812552,16.488170414,0.3981660828,2.5488306866,,P1
0.23383573664,16.479610515,0.21707455211,16.488425493,0.39820213637,2.5487942459,,P1
0.23384825522,16.47887578,0.21724519578,16.488626459,0.39823662326,2.5487566959,,P1
0.23386109998,16.478121936,0.21741045728,16.488778238,0.39826966107,2.5487181739,,P1
0.23387423233,16.477351253,0.21757070042,16.48888519,0.39830135878,2.5486787963,,P1
0.23388761951,16.476565654,0.21772627448,16.488951166,0.3983318143,2.5486386617,,P1
0.23390123358,16.475766782,0.21787744223,16.488979455,0.39836109874,2.5485978542,,P1
0.23391505062,16.474956042,0.21802461,16.488973285,0.39838932826,2.5485564458,,P1
0.23392905003,16.474134645,0.21816797801,16.488935261,0.39841655917,2.5485144986,,P1
0.23394321401,16.473303637,0.21830782721,16.488867681,0.39844286937,2.5484720663,,P1
0.23395752708,16.472463928,0.21844429355,16.488772877,0.39846829733,2.5484291954,,P1
0.23397197573,16.471616311,0.21857762214,16.488652788,0.39849290824,2.5483859267,,P1
0.23398654812,16.470761482,0.21870795332,16.488509192,0.39851675604,2.5483422958,,P1
0.23400123382,16.469900056,0.21883553384,16.488343309,0.39853987813,2.5482983342,,P1
0.23401602362,16.469032572,0.2189604837,16.488156715,0.39856232005,2.5482540696,,P1
0.23403090932,16.468159512,0.21908300442,16.487950393,0.39858412509,2.5482095268,,P1
0.23404588366,16.467281305,0.219203124,16.487726108,0.39860531745,2.5481647276,,P1
0.2340609401,16.466398334,0.21932100698,16.487484604,0.39862593461,2.5481196918,,P1
0.2340760728,16.465510942,0.21943676957,16.487227097,0.3986460024,2.5480744369,,P1
0.23409127651,16.464619437,0.2195505018,16.486953937,0.39866555567,2.5480289788,,P1
0.23410654648,16.4637241,0.21966230745,16.486666219,0.39868461573,2.5479833319,,P1
0.23412187842,16.462825183,0.21977222084,16.48636459,0.39870320985,2.547937509,,P1
0.23413726842,16.461922915,0.21988044353,16.486049966,0.39872135182,2.547891522,,P1
0.23415271293,16.461017504,0.21998698805,16.485722856,0.3987390657,2.5478453815,,P1
0.23416820872,16.460109142,0.22009188651,16.485383878,0.39875637175,2.5477990973,,P1
0.23418375283,16.459198002,0.22019528713,16.485033522,0.39877328436,2.5477526784,,P1
0.23419934253,16.458284244,0.22029721108,16.484672329,0.39878982144,2.547706133,,P1
0.23421497534,16.457368015,0.22039777334,16.484300764,0.39880597159,2.5476594686,,P1
0.23423064895,16.456449449,0.22049691118,16.483919279,0.39882180173,2.547612692,,P1
0.23424636126,16.455528672,0.22059473793,16.483528286,0.39883729937,2.5475658098,,P1
0.2342621103,16.454605799,0.22069125739,16.483128056,0.39885249648,2.5475188278,,P1
0.23427789425,16.453680935,0.22078659785,16.482719166,0.39886736713,2.5474717515,,P1
0.23429371145,16.45275418,0.22088076512,16.482301857,0.39888194098,2.5474245859,,P1
0.23430956032,16.451825626,0.22097374383,16.4818767,0.39889622499,2.5473773359,,P1
0.23432543942,16.450895359,0.22106570406,16.481443553,0.39891023582,2.5473300057,,P1
0.23434134738,16.449963457,0.22115660761,16.481002892,0.39892397977,2.5472825995,,P1
0.23435728295,16.449029996,0.22124651805,16.480554984,0.39893747719,2.5472351211,,P1
0.23437324495,16.448095044,0.2213353928,16.480100082,0.39895071419,2.5471875741,,P1
0.23438923226,16.447158668,0.2214233094,16.479638425,0.3989637097,2.5471399617,,P1
0.23440524384,16.446220928,0.2215103626,16.479170144,0.39897647312,2.5470922873,,P1
0.23442127874,16.44528188,0.22159645517,16.478695672,0.39898900791,2.5470445536,,P1
0.23443733603,16.44434158,0.22168167438,16.478215089,0.39900132291,2.5469967634,,P1
0.23445341485,16.443400078,0.22176605661,16.477728213,0.39901341476,2.5469489194,,P1
0.2344695144,16.442457421,0.22184960555,16.477236007,0.39902530965,2.546901024,,P1
0.2344856339,16.441513654,0.22193235443,16.476738242,0.39903700348,2.5468530795,,P1
0.23450177265,16.44056882,0.22201435737,16.476235166,0.39904849753,2.546805088,,P1
0.23451792995,16.439622958,0.2220955857,16.475726697,0.39905980549,2.5467570518,,P1
0.23453410517,16.438676107,0.22217607797,16.475213144,0.39907092865,2.5467089726,,P1
0.2345502977,16.437728302,0.22225586572,16.474694967,0.39908188761,2.5466608523,,P1
0.23456650695,16.436779578,0.2223349361,16.474171706,0.39909265616,2.5466126927,,P1
0.23458273239,16.435829967,0.22241332633,16.473643775,0.39910325415,2.5465644955,,P1
0.23459897349,16.434879499,0.22249107535,16.473110407,0.39911368248,2.5465162622,,P1
0.23461522975,16.433928203,0.22256815978,16.472573444,0.39912395239,2.5464679943,,P1
0.23463150072,16.432976108,0.2226446135,16.472032173,0.39913406429,2.5464196932,,P1
0.23464778593,16.432023238,0.22272043471,16.471487515,0.39914400266,2.5463713603,,P1
0.23466408498,16.43106962,0.22279566958,16.470938087,0.39915380991,2.5463229969,,P1
0.23468039745,16.430115277,0.22287031754,16.47038467,0.39916347025,2.5462746041,,P1
0.23469672295,16.429160232,0.22294437318,16.46982751,0.39917299483,2.5462261833,,P1
0.23471306112,16.428204507,0.22301789915,16.469266341,0.39918237106,2.5461777354,,P1
0.23472941161,16.427248122,0.2230908774,16.468701465,0.39919161027,2.5461292616,,P1
0.23474577407,16.426291098,0.22316333607,16.468131663,0.39920072728,2.5460807628,,P1
0.2347621482,16.425333452,0.22323524531,16.467559744,0.39920970172,2.5460322401,,P1
0.23477853367,16.424375204,0.22330664177,16.466984371,0.39921854798,2.5459836944,,P1
0.2347949302,16.423416371,0.22337756956,16.466406822,0.39922725184,2.5459351265,,P1
0.2348113375,16.422456969,0.22344798011,16.465824721,0.39923585017,2.5458865374,,P1
0.23482775531,16.421497014,0.22351790948,16.465239392,0.3992443283,2.5458379278,,P1
0.23484418336,16.420536522,0.22358723629,16.464650797,0.39925270049,2.5457892986,,P1
0.23486062141,16.419575507,0.22365622089,16.46405917,0.39926094517,2.5457406504,,P1
0.23487706921,16.418613983,0.2237247527,16.463464516,0.39926907682,2.5456919841,,P1
0.23489352653,16.417651964,0.22379287579,16.462866255,0.39927709847,2.5456433003,,P1
0.23490999317,16.416689464,0.2238605491,16.46226583,0.3992850107,2.5455945997,,P1
0.2349264689,16.415726493,0.22392779562,16.46166256,0.3992928164,2.5455458829,,P1
0.23494295352,16.414763065,0.22399472101,16.461054494,0.39930050632,2.5454971505,,P1
0.23495944683,16.413799191,0.22406113252,16.460445747,0.39930810535,2.5454484032,,P1
0.23497594865,16.412834882,0.2241271407,16.459834323,0.39931560378,2.5453996415,,P1
0.23499245879,16.411870148,0.22419275359,16.459222187,0.39932302444,2.545350866,,P1
0.23500897708,16.410905002,0.2242579743,16.458605414,0.39933032695,2.5453020772,,P1
0.23502550335,16.409939451,0.22432281314,16.457986111,0.39933753424,2.5452532756,,P1
0.23504203743,16.408973506,0.22438720183,16.457363502,0.39934464603,2.5452044617,,P1
0.23505857917,16.408007176,0.22445129133,16.45673925,0.39935166785,2.545155636,,P1
0.23507512842,16.407040471,0.2245150186,16.456112606,0.39935859938,2.545106799,,P1
0.23509168503,16.406073398,0.22457830985,16.45548416,0.39936544548,2.545057951,,P1
0.23510824885,16.405105966,0.22464132885,16.454853031,0.39937220113,2.5450090927,,P1
0.23512481976,16.404138184,0.22470402533,16.454219638,0.39937887102,2.5449602242,,P1
0.23514139762,16.403170059,0.22476656053,16.453584883,0.399385409,2.5449113461,,P1
0.23515798229,16.402201598,0.22482857491,16.452947043,0.39939191174,2.5448624588,,P1
0.23517457366,16.40123281,0.2248902618,16.452307052,0.39939833289,2.5448135626,,P1
0.23519117161,16.4002637,0.22495149987,16.451664208,0.39940472145,2.5447646578,,P1
0.23520777602,16.399294277,0.22501253981,16.451019933,0.39941098322,2.5447157449,,P1
0.23522438678,16.398324546,0.22507326759,16.450373613,0.39941716725,2.5446668242,,P1
0.23524100377,16.397354514,0.22513377166,16.449725068,0.39942327229,2.5446178961,,P1
