V,L2-NORM,MAX C_in,MAX C_SR,MAX U(3),MAX U(4),PERIOD,point_type,system_id
-42.591425341,27.802162031,0.20077386856,27.801437075,0.0,0.0,11.25615685,,P1
-42.591314539,27.802153913,0.20100531547,27.802816363,0.0,0.0,11.257552122,,P1
-42.590976057,27.802129091,0.20124053219,27.804183487,0.0,0.0,11.261821091,,P1
-42.590481219,27.802091933,0.20146138093,27.805438103,0.0,0.0,11.268243919,,P1
-42.589447078,27.802014852,0.20177121124,27.807145934,0.0,0.0,11.281563558,,P1
-42.5873539,27.801858208,0.20220989649,27.809463998,0.0,0.0,11.308709362,,P1
-42.583207479,27.80154377,0.20283050483,27.812546276,0.0,0.0,11.363568227,,P1
-42.575177204,27.800918924,0.20370923531,27.816521366,0.0,0.0,11.474012984,,P1
-42.559613878,27.799696825,0.20491659219,27.821159961,0.0,0.0,11.695841764,,P1
-42.540608586,27.798057501,0.20619342374,27.825221065,0.0,0.0,12.005975657,,P1
-42.524063376,27.796479863,0.20723255636,27.827880519,0.0,0.0,12.317630299,,P1
-42.50980214,27.794953541,0.20813886527,27.829764188,0.0,0.0,12.630460115,,P1
-42.497507427,27.793476742,0.20895070864,27.831108167,0.0,0.0,12.944146131,,P1
-42.487047357,27.792038447,0.20969903882,27.832093683,0.0,0.0,13.258516143,,P1
-42.478214903,27.790631627,0.21039970561,27.832816762,0.0,0.0,13.573393272,,P1
-42.470810184,27.789250045,0.21106349482,27.833343348,0.0,0.0,13.888643018,,P1
-42.464649991,27.787887807,0.21169790236,27.833721397,0.0,0.0,14.204163484,,P1
-42.459565069,27.786539504,0.21230880461,27.833988856,0.0,0.0,14.519877564,,P1
-42.455400554,27.785200238,0.21290061054,27.83417529,0.0,0.0,14.835727921,,P1
-42.452016435,27.783865614,0.21347651517,27.83430238,0.0,0.0,15.151672668,,P1
-42.449287707,27.782531725,0.21403948224,27.834388146,0.0,0.0,15.467681751,,P1
-42.447104171,27.781195125,0.21459178812,27.834444415,0.0,0.0,15.783733988,,P1
-42.445369908,27.779852805,0.21513503494,27.8344813,0.0,0.0,16.099814706,,P1
-42.444002468,27.778502152,0.21567066174,27.834504131,0.0,0.0,16.415913905,,P1
-42.442931844,27.777140915,0.21620002958,27.834519726,0.0,0.0,16.732024867,,P1
-42.442099302,27.775767169,0.21672428853,27.834528697,0.0,0.0,17.048143139,,P1
-42.441456126,27.774379273,0.2172439542,27.834534004,0.0,0.0,17.36426579,,P1
-42.440962356,27.772975838,0.21775958927,27.834535597,0.0,0.0,17.680390907,,P1
-42.440585556,27.771555691,0.21827263885,27.83453955,0.0,0.0,17.996517235,,P1
-42.440299662,27.770117848,0.21878249752,27.834541721,0.0,0.0,18.312643948,,P1
-42.440083924,27.768661479,0.21929061974,27.834539923,0.0,0.0,18.628770488,,P1
-42.439921971,27.767185893,0.21979646469,27.834541435,0.0,0.0,18.944896473,,P1
-42.439800996,27.765690509,0.22030107366,27.834540732,0.0,0.0,19.261021627,,P1
-42.439711056,27.764174841,0.22080455699,27.834542769,0.0,0.0,19.577145745,,P1
-42.43964449,27.762638485,0.22130695719,27.834533197,0.0,0.0,19.893268664,,P1
-42.439595434,27.7610811,0.22180854173,27.83454305,0.0,0.0,20.209390254,,P1
-42.439559431,27.759502401,0.22230954173,27.83453481,0.0,0.0,20.5255104,,P1
-42.439533112,27.75790215,0.22281014979,27.834543246,0.0,0.0,20.841629006,,P1
-42.439513945,27.756280147,0.22331048708,27.834537902,0.0,0.0,21.157745983,,P1
-42.439500036,27.754636222,0.22381001889,27.834524322,0.0,0.0,21.473861249,,P1
-42.439489979,27.752970235,0.22431078029,27.834540015,0.0,0.0,21.789974731,,P1
-42.439482731,27.751282067,0.22481116238,27.834542802,0.0,0.0,22.106086359,,P1
-42.439477526,27.749571616,0.22531125813,27.834541458,0.0,0.0,22.422196067,,P1
-42.439473798,27.747838799,0.22581247532,27.834527894,0.0,0.0,22.738303793,,P1
-42.439471137,27.746083544,0.22631387309,27.834534893,0.0,0.0,23.054409479,,P1
-42.439469243,27.744305793,0.22681544641,27.834533733,0.0,0.0,23.370513067,,P1
-42.4394679,27.742505497,0.22731775567,27.834542924,0.0,0.0,23.686614505,,P1
-42.439466949,27.740682613,0.22782031651,27.834539964,0.0,0.0,24.002713739,,P1
-42.439466277,27.738837109,0.22832403286,27.834539953,0.0,0.0,24.31881072,,P1
-42.439465805,27.736968958,0.22882785722,27.834542975,0.0,0.0,24.634905398,,P1
-42.439465473,27.735078137,0.22933335398,27.834534034,0.0,0.0,24.950997728,,P1
-42.439465241,27.73316463,0.22983918116,27.834529762,0.0,0.0,25.267087662,,P1
-42.439465079,27.731228425,0.23034559058,27.834529914,0.0,0.0,25.583175156,,P1
-42.439464965,27.729269512,0.23085340513,27.834541667,0.0,0.0,25.899260167,,P1
-42.439464887,27.727287887,0.23136213031,27.834537627,0.0,0.0,26.215342653,,P1
-42.439464832,27.725283547,0.23187120963,27.834520219,0.0,0.0,26.531422571,,P1
-42.439464794,27.723256493,0.23238231641,27.834534951,0.0,0.0,26.84749988,,P1
-42.439464768,27.721206727,0.23289395165,27.834541454,0.0,0.0,27.163574542,,P1
