BR,PT,TY,LAB,V,L2-NORM,C_in,C_SR,U(3),U(4),stability,system_id
1,1,EP,1,-6.00000E+01,2.74096E+01,1.60942E-01,2.74091E+01,0.00000E+00,0.00000E+00,4,P1
1,101,,0,-5.99510E+01,2.74133E+01,1.61059E-01,2.74128E+01,0.00000E+00,0.00000E+00,4,P1
1,201,,0,-5.99011E+01,2.74170E+01,1.61176E-01,2.74165E+01,0.00000E+00,0.00000E+00,4,P1
1,301,,0,-5.98512E+01,2.74207E+01,1.61293E-01,2.74202E+01,0.00000E+00,0.00000E+00,4,P1
1,401,,0,-5.98014E+01,2.74243E+01,1.61410E-01,2.74238E+01,0.00000E+00,0.00000E+00,4,P1
1,501,,0,-5.97515E+01,2.74280E+01,1.61528E-01,2.74275E+01,0.00000E+00,0.00000E+00,4,P1
1,601,,0,-5.97016E+01,2.74316E+01,1.61645E-01,2.74312E+01,0.00000E+00,0.00000E+00,4,P1
1,701,,0,-5.96518E+01,2.74353E+01,1.61763E-01,2.74348E+01,0.00000E+00,0.00000E+00,4,P1
1,801,,0,-5.96019E+01,2.74389E+01,1.61881E-01,2.74384E+01,0.00000E+00,0.00000E+00,4,P1
1,901,,0,-5.95520E+01,2.74425E+01,1.61999E-01,2.74420E+01,0.00000E+00,0.00000E+00,4,P1
1,1001,,0,-5.95022E+01,2.74461E+01,1.62117E-01,2.74456E+01,0.00000E+00,0.00000E+00,4,P1
1,1101,,0,-5.94523E+01,2.74496E+01,1.62236E-01,2.74492E+01,0.00000E+00,0.00000E+00,4,P1
1,1201,,0,-5.94024E+01,2.74532E+01,1.62354E-01,2.74527E+01,0.00000E+00,0.00000E+00,4,P1
1,1301,,0,-5.93525E+01,2.74567E+01,1.62473E-01,2.74563E+01,0.00000E+00,0.00000E+00,4,P1
1,1401,,0,-5.93027E+01,2.74603E+01,1.62592E-01,2.74598E+01,0.00000E+00,0.00000E+00,4,P1
1,1501,,0,-5.92528E+01,2.74638E+01,1.62711E-01,2.74633E+01,0.00000E+00,0.00000E+00,4,P1
1,1601,,0,-5.92029E+01,2.74673E+01,1.62830E-01,2.74668E+01,0.00000E+00,0.00000E+00,4,P1
1,1701,,0,-5.91530E+01,2.74707E+01,1.62949E-01,2.74703E+01,0.00000E+00,0.00000E+00,4,P1
1,1801,,0,-5.91031E+01,2.74742E+01,1.63069E-01,2.74737E+01,0.00000E+00,0.00000E+00,4,P1
1,1901,,0,-5.90533E+01,2.74777E+01,1.63188E-01,2.74772E+01,0.00000E+00,0.00000E+00,4,P1
1,2001,,0,-5.90034E+01,2.74811E+01,1.63308E-01,2.74806E+01,0.00000E+00,0.00000E+00,4,P1
1,2101,,0,-5.89535E+01,2.74845E+01,1.63428E-01,2.74840E+01,0.00000E+00,0.00000E+00,4,P1
1,2201,,0,-5.89036E+01,2.74879E+01,1.63548E-01,2.74874E+01,0.00000E+00,0.00000E+00,4,P1
1,2301,,0,-5.88537E+01,2.74913E+01,1.63668E-01,2.74908E+01,0.00000E+00,0.00000E+00,4,P1
1,2401,,0,-5.88038E+01,2.74947E+01,1.63788E-01,2.74942E+01,0.00000E+00,0.00000E+00,4,P1
1,2501,,0,-5.87540E+01,2.74980E+01,1.63909E-01,2.74975E+01,0.00000E+00,0.00000E+00,4,P1
1,2601,,0,-5.87041E+01,2.75014E+01,1.64029E-01,2.75009E+01,0.00000E+00,0.00000E+00,4,P1
1,2701,,0,-5.86542E+01,2.75047E+01,1.64150E-01,2.75042E+01,0.00000E+00,0.00000E+00,4,P1
1,2801,,0,-5.86043E+01,2.75080E+01,1.64271E-01,2.75075E+01,0.00000E+00,0.00000E+00,4,P1
1,2901,,0,-5.85544E+01,2.75113E+01,1.64392E-01,2.75108E+01,0.00000E+00,0.00000E+00,4,P1
1,3001,,0,-5.85045E+01,2.75146E+01,1.64513E-01,2.75141E+01,0.00000E+00,0.00000E+00,4,P1
1,3101,,0,-5.84546E+01,2.75178E+01,1.64634E-01,2.75173E+01,0.00000E+00,0.00000E+00,4,P1
